Probe_ID,logFC,AveExpr,t,P.Value,adj.P.Val,B,Gene_Symbol
205680_at,0.560933096,5.797141984,4.659256729,7.95E-06,0.177201864,2.769262307,MMP10
202503_s_at,0.625087668,9.6668158,4.174195514,5.54E-05,0.324857885,1.26047379,PCLAF
203396_at,0.258274881,9.607384648,4.053783164,8.77E-05,0.324857885,0.903942291,PSMA4
208821_at,0.373567727,9.87234572,4.027931142,9.67E-05,0.324857885,0.828380163,SNRPB
220114_s_at,-0.172322139,6.753415024,-3.971131784,0.000119581,0.324857885,0.663603875,STAB2
209260_at,0.386871108,7.67864404,3.940194289,0.00013416,0.324857885,0.574577289,SFN
212640_at,0.420228187,9.012775344,3.893486723,0.00015942,0.324857885,0.441147395,HACD2
220069_at,-0.13547297,6.052364872,-3.885938792,0.000163905,0.324857885,0.419696203,TUBA8
220069_at,-0.13547297,6.052364872,-3.885938792,0.000163905,0.324857885,0.419696203,None
201994_at,0.294669773,11.68841706,3.827504509,0.000202925,0.324857885,0.254680559,MORF4L2
201890_at,0.741343541,7.657153984,3.82326707,0.000206074,0.324857885,0.242787236,RRM2
219485_s_at,0.272076776,9.409926912,3.783880749,0.000237651,0.324857885,0.132716567,PSMD10
219038_at,0.44617745,7.242527376,3.770583767,0.000249312,0.324857885,0.095751096,MORC4
202534_x_at,0.377508581,7.641897232,3.746129578,0.000272189,0.324857885,0.028026906,DHFR
215380_s_at,0.446018778,10.78933885,3.743292593,0.000274969,0.324857885,0.020191787,GGCT
214965_at,0.296211578,7.701920728,3.730811952,0.000287519,0.324857885,-0.014223162,SPATA2L
210046_s_at,0.554140844,10.19347963,3.725669092,0.000292846,0.324857885,-0.028378895,IDH2
214630_at,-0.170025379,7.15847792,-3.719607118,0.000299247,0.324857885,-0.045045319,CYP11B2
220005_at,-0.342702269,6.454593408,-3.713866907,0.000305429,0.324857885,-0.060807967,P2RY13
214328_s_at,0.217758022,12.480803,3.692187821,0.000329887,0.324857885,-0.120170494,HSP90AA1
