Probe_ID,logFC,AveExpr,t,P.Value,adj.P.Val,B,Gene_Symbol
1568760_at,-2.191378666,5.612457506,-44.06112797,4.58E-162,1.25E-157,357.3984362,MYH11
210721_s_at,-3.083837561,3.647536258,-40.26758833,1.86E-148,3.39E-144,326.7445663,PAK5
243940_at,-4.056802237,4.181332688,-36.94444683,6.56E-136,8.97E-132,298.39916,TSHZ2
1569956_at,-2.521162543,3.825122102,-34.94766231,4.41E-128,4.22E-124,280.680944,MYLK
219564_at,-4.367758023,4.489029785,-34.45527115,4.05E-126,3.17E-122,276.2323186,KCNJ16
222717_at,-3.179169631,3.986650775,-33.15673069,7.06E-121,4.29E-117,264.3504052,CAVIN2
242960_at,-2.721396143,4.673357847,-32.93730506,5.54E-120,3.03E-116,262.3212655,EPC2
216918_s_at,-2.884076407,7.523426074,-32.15118609,9.33E-117,4.64E-113,255.0014364,DST
240289_at,-2.903017793,5.545525744,-31.88534227,1.17E-115,5.33E-112,252.5084359,PDLIM3
231987_at,-3.207625876,7.271729342,-30.52601247,5.52E-110,2.16E-106,239.6240328,CARMN
228368_at,-2.08619147,4.811919263,-29.08458953,7.26E-104,2.65E-100,225.718208,ARHGAP20
1556364_at,-2.528501355,5.327157535,-28.66276064,4.68E-102,1.42E-98,221.6031715,ADAMTS9-AS2
210729_at,-4.629987925,4.06242119,-28.42834935,4.78E-101,1.38E-97,219.3078126,NPY2R
206423_at,-1.843482059,5.022979027,-27.5601634,2.75E-97,7.17E-94,210.7543959,ANGPTL7
208241_at,-1.804317048,5.068064144,-27.20303863,9.91E-96,2.46E-92,207.212898,NRG1
235236_at,-4.142401762,4.345090565,-24.72867075,8.28E-85,1.81E-81,182.3427769,INSYN2B
1556936_at,-2.804978297,4.033649168,-24.52134541,6.97E-84,1.46E-80,180.2354472,GAS1RR
1566482_at,-3.623656044,4.874467135,-24.15426755,3.05E-82,5.95E-79,176.4967201,None
203951_at,-4.140528772,7.056492463,-23.95521118,2.37E-81,4.32E-78,174.4654408,CNN1
236682_at,-1.872562979,5.794931881,-23.66581743,4.71E-80,8.04E-77,171.5077483,CHD9NB
230508_at,-2.339021499,4.979296491,-23.54155936,1.70E-79,2.82E-76,170.2362133,DKK3
208004_at,-5.338463357,5.469435176,-23.49444934,2.77E-79,4.45E-76,169.7538971,OPRPN
239823_at,-3.254880322,4.556033796,-23.41275082,6.45E-79,1.01E-75,168.9171572,SNHG26
207324_s_at,-1.278047852,4.150059646,-23.11481213,1.41E-77,2.14E-74,165.8625934,DSC1
236081_at,-1.242682447,4.126569215,-23.00457491,4.42E-77,6.54E-74,164.7312192,SNCA
244258_at,-1.21138777,5.220910552,-22.51064285,7.45E-75,1.07E-71,159.6548546,PURB
