Probe_ID,logFC,AveExpr,t,P.Value,adj.P.Val,B,Gene_Symbol
218626_at,0.038378623,7.751798419,0.751874244,0.452823582,0.72776502,-5.724354525,EIF4ENIF1
213143_at,0.072349638,5.633367589,0.751702141,0.452926912,0.727878576,-5.724476159,C2orf72
213316_at,-0.077867754,6.513964427,-0.751515399,0.453039046,0.727966229,-5.724608107,JCAD
204921_at,-0.039518116,7.161798419,-0.75140361,0.453106181,0.727966229,-5.724687079,GAS8
220082_at,-0.036248188,4.356217391,-0.751393643,0.453112166,0.727966229,-5.724694119,PPP1R14D
210946_at,-0.083389493,9.018067194,-0.751237822,0.453205754,0.728011579,-5.724804177,PLPP1
206144_at,-0.069521739,4.775343874,-0.751168502,0.453247392,0.728025967,-5.724853131,MAGI1
208796_s_at,-0.065181159,9.812810277,-0.750987296,0.453356245,0.728148311,-5.724981077,CCNG1
219773_at,-0.10761413,6.318482213,-0.7506202,0.453576811,0.728397536,-5.725240183,NOX4
217719_at,-0.041369565,12.10052174,-0.750473002,0.45366527,0.728445874,-5.725344044,EIF3L
219149_x_at,0.03221558,6.902106719,0.750461288,0.45367231,0.728445874,-5.725352308,DBR1
206954_at,0.043655797,3.922482213,0.750315391,0.453759999,0.728481658,-5.72545523,WT1-AS
218498_s_at,-0.065342391,6.814652174,-0.749841305,0.454045004,0.728834166,-5.72578953,ERO1A
208923_at,-0.039586957,10.50318182,-0.749782832,0.454080163,0.728838085,-5.725830748,CYFIP1
207089_at,0.02228442,3.328213439,0.7495318,0.454231123,0.728991155,-5.726007664,NRAP
220471_s_at,-0.035126812,4.545952569,-0.749515416,0.454240976,0.728991155,-5.726019208,MYCT1
200023_s_at,-0.042619565,11.31747431,-0.749372789,0.45432676,0.729023787,-5.726119697,EIF3F
200023_s_at,-0.042619565,11.31747431,-0.749372789,0.45432676,0.729023787,-5.726119697,EIF3FP3
221312_at,-0.033440217,3.402189723,-0.749208326,0.454425688,0.729024993,-5.726235546,GLP2R
218400_at,0.094646739,8.357818182,0.749000014,0.45455101,0.729121029,-5.726382247,OAS3
204965_at,-0.017681159,3.116090909,-0.748553761,0.454819545,0.729204967,-5.726696377,GC
212001_at,-0.044097826,8.195288538,-0.748474274,0.454867387,0.729208461,-5.726752311,SUGP2
218991_at,-0.057576087,7.490786561,-0.748383436,0.454922063,0.729232093,-5.726816225,HEATR6
220256_s_at,-0.029945652,4.918343874,-0.748008298,0.455147903,0.729471682,-5.727080092,OXCT2
220256_s_at,-0.029945652,4.918343874,-0.748008298,0.455147903,0.729471682,-5.727080092,OXCT2P1
40837_at,-0.090275362,7.795205534,-0.747850283,0.45524305,0.729546041,-5.727191198,TLE2
214415_at,0.066054348,5.6623083,0.747712242,0.455326178,0.729546041,-5.727288241,PLGLA
219746_at,-0.027708333,4.25686166,-0.747428201,0.455497256,0.729745586,-5.727487865,DPF3
218771_at,-0.037860507,7.145158103,-0.747196602,0.455636775,0.729848381,-5.727650577,PANK4
203388_at,0.046568841,5.890059289,0.747140919,0.455670323,0.729848381,-5.72768969,ARRB2
212877_at,0.051405797,6.042498024,0.746963884,0.455776992,0.729848381,-5.727814025,KLC1
208191_x_at,-0.047668478,4.769624506,-0.746935373,0.455794173,0.729848381,-5.727834046,PSG4
213402_at,-0.043331522,5.963905138,-0.746905742,0.455812028,0.729848381,-5.727854852,ZNF787
210281_s_at,0.069119565,4.709166008,0.746499558,0.456056832,0.729848381,-5.728139989,ZMYM2
203325_s_at,-0.104230072,8.908426877,-0.746349758,0.456147133,0.729848381,-5.728245108,COL5A1
210445_at,0.096976449,4.223312253,0.746288763,0.456183905,0.729848381,-5.728287904,FABP6
212578_x_at,-0.023443841,13.44320949,-0.74611492,0.456288718,0.729963646,-5.728409859,RPS17
207451_at,-0.028657609,4.325885375,-0.74599452,0.456361317,0.730027363,-5.728494305,NKX2-8
219904_at,-0.043346014,4.780075099,-0.745928641,0.456401044,0.73003849,-5.728540506,ZSCAN5A
210520_at,-0.020179348,3.544284585,-0.745486577,0.45666767,0.73028169,-5.728850418,HRG-AS1
213556_at,-0.042338768,4.980632411,-0.744961847,0.45698427,0.730588913,-5.729218047,PINLYP
201401_s_at,-0.032469203,4.876454545,-0.744690073,0.457148295,0.730644952,-5.729408352,GRK2
214293_at,-0.056902174,6.298252964,-0.744441212,0.457298521,0.730697562,-5.729582552,SEPTIN11
221797_at,-0.04790942,7.113118577,-0.744046939,0.457536582,0.730749094,-5.72985842,OXLD1
219235_s_at,0.040782609,7.761339921,0.744003922,0.45756256,0.730749094,-5.729888509,PHACTR4
207237_at,0.025744565,3.577494071,0.743991103,0.457570301,0.730749094,-5.729897476,KCNA3
219641_at,-0.059478261,6.116083004,-0.743942325,0.45759976,0.730749094,-5.729931593,DET1
203978_at,-0.04175,7.130885375,-0.743592669,0.457810956,0.730878501,-5.730176087,NUBP1
222155_s_at,0.078713768,6.68673913,0.743453219,0.457895201,0.730906521,-5.730273564,SLC52A2
207157_s_at,0.043429348,11.22950198,0.743294152,0.457991308,0.731000732,-5.730384732,GNG5B
207157_s_at,0.043429348,11.22950198,0.743294152,0.457991308,0.731000732,-5.730384732,GNG5
210689_at,-0.03763587,3.881849802,-0.743246915,0.458019851,0.731000732,-5.730417741,CLDN14
222064_s_at,-0.040175725,7.064885375,-0.742508316,0.45846627,0.731241939,-5.730933585,PTGES3L-AARSD1
222064_s_at,-0.040175725,7.064885375,-0.742508316,0.45846627,0.731241939,-5.730933585,AARSD1
201419_at,0.032755435,7.422090909,0.742508088,0.458466408,0.731241939,-5.730933744,BAP1
220447_at,0.024197464,3.537822134,0.742335129,0.458570982,0.731307102,-5.731054466,HRH3
219298_at,0.087059783,7.875683794,0.742314121,0.458583684,0.731307102,-5.731069128,ECHDC3
202628_s_at,-0.08270471,6.255743083,-0.742277635,0.458605747,0.731307102,-5.73109459,SERPINE1
216387_x_at,0.031804348,6.732,0.742056138,0.458739693,0.731415985,-5.731249139,NPM1P22
206706_at,0.043682971,4.818810277,0.74166806,0.45897443,0.731656254,-5.731519807,NTF3
210794_s_at,-0.076815217,6.393865613,-0.741577005,0.459029516,0.731656254,-5.731583294,MEG3
221404_at,-0.031539855,4.060343874,-0.741537618,0.459053346,0.731656254,-5.731610754,IL36A
212954_at,0.060298913,7.396667984,0.741535535,0.459054606,0.731656254,-5.731612206,DYRK4
221423_s_at,-0.075014493,7.89758498,-0.741417778,0.459125854,0.731661082,-5.731694293,YIPF5
53720_at,0.059539855,7.791422925,0.741416052,0.459126898,0.731661082,-5.731695497,SHFL
221943_x_at,-0.055275362,9.55844664,-0.74130503,0.459194078,0.731661082,-5.731772878,MGC16275
201207_at,-0.039041667,7.913031621,-0.741252301,0.459225986,0.731661082,-5.731809626,TNFAIP1
206929_s_at,-0.04620471,5.666893281,-0.741204854,0.459254698,0.731661082,-5.73184269,NFIC
202217_at,-0.034083333,9.70058498,-0.741023158,0.459364661,0.731783936,-5.731969288,GATD3
214600_at,-0.033608696,4.165312253,-0.740962872,0.45940115,0.731789734,-5.732011286,TEAD1
209440_at,-0.047429348,8.170146245,-0.740628948,0.459603291,0.731894103,-5.732243852,PRPS1
204574_s_at,-0.034101449,5.683090909,-0.740591328,0.459626067,0.731894103,-5.732270046,MMP19
212764_at,-0.087411232,8.743079051,-0.740144513,0.459896632,0.732051662,-5.732581056,ZEB1
219339_s_at,-0.029865942,4.164300395,-0.739984138,0.459993768,0.732051662,-5.732692642,EHMT1
220950_s_at,0.024480072,5.334920949,0.739969292,0.46000276,0.732051662,-5.73270297,KANSL3
215105_at,0.022710145,4.11058498,0.739803196,0.460103374,0.732070771,-5.732818508,N4BP2L2-IT2
204824_at,-0.055199275,6.916956522,-0.739234208,0.460448137,0.732442332,-5.733214106,ENDOG
215505_s_at,0.067487319,6.269932806,0.739220378,0.460456519,0.732442332,-5.733223718,STRN3
201277_s_at,0.052195652,11.04560474,0.739202067,0.460467616,0.732442332,-5.733236443,HNRNPAB
221091_at,-0.023179348,3.602814229,-0.739123471,0.460515252,0.732442332,-5.733291062,INSL5
205951_at,0.023480072,3.077561265,0.739084964,0.460538591,0.732442332,-5.73331782,MYH1
202148_s_at,0.060681159,7.578114625,0.739038012,0.46056705,0.732442332,-5.733350444,PYCR1
207033_at,0.029057971,3.442403162,0.73878634,0.460719613,0.732632651,-5.733525281,CBLIF
207163_s_at,-0.051592391,7.780695652,-0.738448778,0.460924286,0.732884279,-5.733759691,AKT1
200944_s_at,0.039501812,11.677083,0.738377352,0.460967599,0.732884279,-5.733809277,HMGN1
200944_s_at,0.039501812,11.677083,0.738377352,0.460967599,0.732884279,-5.733809277,HMGN1P36
204153_s_at,0.067038043,6.334375494,0.737726423,0.46136244,0.733236148,-5.734260952,MFNG
219488_at,-0.031800725,5.317490119,-0.737575983,0.461453722,0.733328903,-5.734365286,A4GALT
91580_at,-0.012623188,2.966992095,-0.737262698,0.461643843,0.733464482,-5.734582486,LRTM1
208199_s_at,-0.025313406,5.132482213,-0.737219926,0.461669803,0.733464482,-5.734612133,ZBTB14
218161_s_at,-0.042331522,5.822351779,-0.737218391,0.461670735,0.733464482,-5.734613197,CLN6
213211_s_at,-0.030512681,4.33629249,-0.737138051,0.461719499,0.733467363,-5.734668879,TAF6L
204690_at,-0.042748188,8.461683794,-0.7369442,0.461837173,0.733467363,-5.734803207,STX8
220054_at,-0.059818841,5.526272727,-0.736854958,0.461891352,0.733501115,-5.734865035,IL23A
219364_at,-0.05246558,6.605403162,-0.736314779,0.462219369,0.733668037,-5.73523912,DHX58
219478_at,-0.097876812,5.983197628,-0.736307658,0.462223694,0.733668037,-5.73524405,WFDC1
208526_at,0.019802536,4.013656126,0.7362733,0.462244563,0.733668037,-5.735267834,OR2F1
206496_at,-0.10034058,5.293003953,-0.735941801,0.462445932,0.733771936,-5.735497256,FMO3
205541_s_at,-0.098021739,6.592201581,-0.735923333,0.462457152,0.733771936,-5.735510034,GSPT2
219402_s_at,0.066396739,9.146102767,0.735804274,0.462529488,0.733834442,-5.735592405,DERL1
212556_at,0.060514493,9.327003953,0.735717654,0.462582119,0.733865679,-5.735652324,SCRIB
203529_at,-0.040730072,9.578766798,-0.73564384,0.462626972,0.733884572,-5.735703379,PPP6C
212814_at,-0.039005435,6.695280632,-0.735408631,0.462769911,0.733954529,-5.735866033,AHCYL2
214840_at,-0.028849638,5.233474308,-0.735210554,0.462890304,0.734040953,-5.736002969,TOM1L2
205223_at,0.037382246,5.933711462,0.735097933,0.462958764,0.734057939,-5.736080811,DEPDC5
209146_at,-0.069085145,9.141316206,-0.734560944,0.463285267,0.734320951,-5.736451804,MSMO1
219060_at,0.06945471,7.668632411,0.734441175,0.463358106,0.734320951,-5.736534513,NTAQ1
203954_x_at,-0.112202899,8.604181818,-0.734421613,0.463370004,0.734320951,-5.73654802,CLDN3
201050_at,0.052865942,7.855189723,0.734420143,0.463370898,0.734320951,-5.736549036,PLD3
221812_at,-0.029981884,6.569094862,-0.734214216,0.463496154,0.734422704,-5.736691208,FBXO42
217308_at,-0.023932971,4.184043478,-0.734164082,0.463526651,0.734422704,-5.736725814,OR1F2P
214696_at,-0.060644928,8.430003953,-0.73408824,0.463572789,0.734443568,-5.736778161,MIR22HG
211602_s_at,0.025304348,3.452031621,0.733867619,0.463707016,0.734603982,-5.736930408,TRPC1
206938_at,-0.026971014,3.956513834,-0.733770517,0.4637661,0.73464534,-5.736997401,SRD5A2
212186_at,-0.070639493,8.789403162,-0.73350994,0.463924676,0.734792038,-5.737177138,ACACA
36004_at,-0.029280797,6.728019763,-0.73329338,0.464056488,0.734948556,-5.737326465,IKBKG
36004_at,-0.029280797,6.728019763,-0.73329338,0.464056488,0.734948556,-5.737326465,IKBKGP1
208827_at,0.043855072,9.745351779,0.733096426,0.464176385,0.735033651,-5.737462235,PSMB6
205216_s_at,-0.025139493,3.810486166,-0.73304252,0.464209204,0.735033651,-5.737499388,APOH
214184_at,-0.038947464,5.148600791,-0.732764045,0.464378763,0.735249873,-5.737691278,NPFF
205379_at,0.08423913,7.711387352,0.732488725,0.464546436,0.735463077,-5.737880923,CBR3
218615_s_at,0.035192029,7.385043478,0.731924087,0.464890412,0.73573362,-5.738269632,TMEM39A
219708_at,-0.038425725,5.310960474,-0.731887749,0.464912554,0.73573362,-5.738294638,NT5M
221255_s_at,0.043141304,8.305711462,0.731400928,0.465209246,0.736146213,-5.73862952,EMC6
208267_at,-0.028664855,4.145818182,-0.731207745,0.465327011,0.736280264,-5.738762349,TRPV5
201428_at,0.096668478,8.080956522,0.731050266,0.465423023,0.736315016,-5.738870602,CLDN4
204988_at,-0.12123913,4.00926087,-0.730793792,0.465579413,0.736380385,-5.739046856,FGB
207867_at,-0.022282609,3.048205534,-0.730702875,0.465634859,0.736380385,-5.739109321,PAX4
218958_at,-0.040391304,7.498418972,-0.730631566,0.465678349,0.736380385,-5.73915831,REX1BD
220166_at,-0.032436594,4.307778656,-0.730616089,0.465687789,0.736380385,-5.739168941,CNNM1
207041_at,-0.022193841,3.817604743,-0.730495576,0.465761294,0.736441493,-5.739251719,MASP2
221775_x_at,0.027992754,12.3546996,0.730390139,0.465825609,0.736441493,-5.73932413,RPL22P1
201103_x_at,0.035538043,11.0828498,0.730217821,0.465930731,0.73655284,-5.739442451,NBPF3
206186_at,-0.059137681,5.612980237,-0.730132909,0.465982536,0.73655284,-5.739500745,MPP3
218889_at,0.040458333,8.547648221,0.730112105,0.465995229,0.73655284,-5.739515026,NOC3L
219011_at,-0.06245471,5.505450593,-0.729907892,0.466119836,0.736593004,-5.739655191,PLEKHA4
216944_s_at,-0.078452899,6.687897233,-0.729730334,0.466228193,0.736659725,-5.73977703,ITPR1
219448_at,0.044818841,5.921158103,0.729343612,0.466464244,0.736928159,-5.740042291,RPS20P21
202801_at,-0.032755435,7.034517787,-0.729081105,0.466624514,0.737076813,-5.740222271,PRKACA
221969_at,0.129246377,5.509814229,0.728783484,0.466806259,0.737283091,-5.740426248,PAX5
211532_x_at,0.029788043,3.849770751,0.728646254,0.466890073,0.737283091,-5.740520272,KIR2DS4
213659_at,-0.042143116,6.621359684,-0.728613819,0.466909884,0.737283091,-5.740542492,ZNF75D
208046_at,-0.026577899,3.668213439,-0.728461965,0.467002642,0.737283091,-5.74064651,H4C1
219317_at,-0.064407609,7.754928854,-0.728165006,0.467184065,0.737460402,-5.740849862,POLI
212871_at,0.051224638,7.38386166,0.728087373,0.4672315,0.737460402,-5.740903009,MAPKAPK5
213990_s_at,-0.032728261,4.291324111,-0.727836854,0.467384589,0.737585135,-5.741074477,PAK5
219140_s_at,-0.196141304,6.862126482,-0.727553639,0.467557693,0.737585135,-5.741268252,RBP4
206253_at,-0.023235507,3.369782609,-0.727421101,0.467638715,0.737585135,-5.741358909,DLG2
37462_i_at,0.051423913,7.227600791,0.727278427,0.46772594,0.737585135,-5.74145648,SF3A2
208604_s_at,-0.028166667,4.597818182,-0.727105854,0.467831458,0.737585135,-5.741574474,HOXA3
207675_x_at,0.070076087,4.860166008,0.727097336,0.467836666,0.737585135,-5.741580297,ARTN
216088_s_at,0.069224638,8.558944664,0.72708604,0.467843574,0.737585135,-5.741588019,PSMA7
219328_at,-0.037019928,7.062083004,-0.727081448,0.467846381,0.737585135,-5.741591159,DDX31
221363_x_at,-0.024672101,3.520233202,-0.727021422,0.467883087,0.737585135,-5.741632192,GPR25
202517_at,-0.048306159,5.743059289,-0.726997703,0.467897592,0.737585135,-5.741648405,CRMP1
201332_s_at,-0.042728261,5.699901186,-0.726893404,0.467961375,0.737619441,-5.741719694,STAT6
206678_at,-0.030320652,3.553225296,-0.726396928,0.468265059,0.737993684,-5.742058894,GABRA1
222018_at,-0.052289855,7.701608696,-0.726281209,0.468335858,0.738010472,-5.742137923,NACA
206234_s_at,-0.030617754,5.136166008,-0.72621893,0.468373963,0.738010472,-5.742180449,MMP17
218152_at,0.035980072,7.92312253,0.726217076,0.468375098,0.738010472,-5.742181715,HMG20A
208261_x_at,0.02095471,3.528687747,0.726008719,0.468502595,0.73815153,-5.742323965,IFNA10
208261_x_at,0.02095471,3.528687747,0.726008719,0.468502595,0.73815153,-5.742323965,IFNA4
65718_at,-0.057208333,6.848750988,-0.725962483,0.46853089,0.73815153,-5.742355525,ADGRA2
202688_at,-0.096141304,10.32331225,-0.725868881,0.468588175,0.738189574,-5.742419412,TNFSF10
