Probe_ID,logFC,AveExpr,t,P.Value,adj.P.Val,B,Gene_Symbol
238709_at,1.267024282,8.44301017,14.22014251,4.41E-36,2.80E-33,71.23521676,ELP2
225996_at,2.685473158,9.014102272,14.20969904,4.84E-36,3.04E-33,71.14401676,LONRF2
226936_at,-1.233922524,9.942358953,-14.17851448,6.38E-36,3.96E-33,70.87178265,CENPW
216320_x_at,0.890146793,9.299633993,14.16228362,7.36E-36,4.52E-33,70.73014578,MST1
216320_x_at,0.890146793,9.299633993,14.16228362,7.36E-36,4.52E-33,70.73014578,MST1P2
216320_x_at,0.890146793,9.299633993,14.16228362,7.36E-36,4.52E-33,70.73014578,MST1L
200810_s_at,0.802667771,12.43878696,14.15582776,7.79E-36,4.73E-33,70.67381997,CIRBP
203438_at,2.565755801,10.08847695,14.14325559,8.71E-36,5.23E-33,70.56414797,STC2
214435_x_at,-0.718849932,10.36153843,-14.13990101,8.97E-36,5.33E-33,70.53488858,RALA
217834_s_at,-0.799792224,10.54102519,-14.08598907,1.44E-35,8.30E-33,70.06488058,SYNCRIP
225623_at,0.654219672,10.07076806,14.08332346,1.48E-35,8.32E-33,70.04165269,CIPC
237301_at,3.172116071,9.49600228,14.08330744,1.48E-35,8.32E-33,70.04151307,MRPS30-DT
213923_at,-0.617526075,11.17662977,-14.08151801,1.50E-35,8.37E-33,70.02592074,RAP2B
220239_at,-0.925229207,8.214783347,-14.06071489,1.80E-35,9.95E-33,69.84468573,KLHL7
218976_at,2.380068472,10.5638012,14.00322882,2.99E-35,1.62E-32,69.34420828,DNAJC12
228915_at,2.498465874,9.047222948,13.9775168,3.75E-35,2.01E-32,69.12051948,DACH1
218966_at,0.800177141,11.38301609,13.97161582,3.95E-35,2.09E-32,69.06919649,MYO5C
227081_at,2.408539003,8.390748465,13.97098925,3.98E-35,2.09E-32,69.06374734,DNALI1
238116_at,2.274686853,7.387287188,13.96227447,4.29E-35,2.22E-32,68.98796227,DYNLRB2
212692_s_at,0.748438509,11.4168056,13.93181453,5.61E-35,2.81E-32,68.72317013,LRBA
240192_at,3.458170294,6.72842283,13.90624,7.03E-35,3.49E-32,68.50095876,GATA3-AS1
204798_at,1.734481764,11.15077317,13.89734921,7.60E-35,3.74E-32,68.42373261,MYB
211939_x_at,0.543619569,13.80665351,13.89418368,7.81E-35,3.81E-32,68.3962395,BTF3
228469_at,0.841637199,8.425864207,13.87358355,9.36E-35,4.49E-32,68.21736306,ETFDH
212311_at,-1.304070502,8.976703707,-13.86685048,9.94E-35,4.72E-32,68.15891259,SEL1L3
215867_x_at,1.95076354,11.95801091,13.8345768,1.32E-34,6.21E-32,67.87884145,CA12
228476_at,0.692685515,9.24135757,13.83026285,1.37E-34,6.40E-32,67.84141763,CCDC191
214440_at,2.476274551,11.58513354,13.79412391,1.88E-34,8.49E-32,67.52802712,NAT1
214077_x_at,0.857749709,9.998590883,13.76199395,2.49E-34,1.12E-31,67.24957977,MEIS3P1
214077_x_at,0.857749709,9.998590883,13.76199395,2.49E-34,1.12E-31,67.24957977,MEIS3P2
208614_s_at,1.023526842,11.65558199,13.75156951,2.73E-34,1.21E-31,67.15927499,FLNB
227703_s_at,1.465651162,8.620888163,13.74160927,2.98E-34,1.31E-31,67.07300806,SYTL4
1553622_a_at,3.328618118,7.653575709,13.71735639,3.69E-34,1.60E-31,66.86301955,FSIP1
205354_at,1.306421887,8.153982223,13.71066652,3.91E-34,1.68E-31,66.80511388,GAMT
202080_s_at,0.680327689,10.00057908,13.70273648,4.19E-34,1.79E-31,66.73648326,TRAK1
209939_x_at,-0.743048546,11.0530571,-13.69480169,4.49E-34,1.90E-31,66.66782207,CFLAR
208628_s_at,-0.662418429,13.45152023,-13.68601915,4.85E-34,2.04E-31,66.59183751,YBX1
208628_s_at,-0.662418429,13.45152023,-13.68601915,4.85E-34,2.04E-31,66.59183751,YBX1P1
226974_at,1.117587022,8.895031306,13.67957261,5.14E-34,2.13E-31,66.53607171,NEDD4L
1555982_at,0.83740035,8.611669985,13.67937966,5.14E-34,2.13E-31,66.53440268,FAM151B-DT
229030_at,2.362269358,9.436313435,13.66802897,5.68E-34,2.33E-31,66.43623086,CAPN8
208682_s_at,1.224570028,12.04643199,13.65018566,6.64E-34,2.71E-31,66.28194869,MAGED2
208682_s_at,1.224570028,12.04643199,13.65018566,6.64E-34,2.71E-31,66.28194869,SNORA11
212441_at,0.689155759,10.96033681,13.64827574,6.75E-34,2.73E-31,66.26543777,KIAA0232
204822_at,-1.382699335,9.016470803,-13.61818035,8.79E-34,3.53E-31,66.00535047,TTK
232968_at,1.226961376,8.497417792,13.56133709,1.44E-33,5.72E-31,65.51453047,FANK1
244116_at,1.411989399,6.944770599,13.55530715,1.52E-33,5.98E-31,65.46249716,MIOS-DT
242323_at,0.640412438,10.70837471,13.55182789,1.57E-33,6.12E-31,65.43247696,PLA2G12A
227262_at,-0.966242742,8.825741055,-13.55033283,1.59E-33,6.16E-31,65.41957777,HAPLN3
219386_s_at,-1.500499789,8.454658721,-13.54504742,1.67E-33,6.41E-31,65.37397893,SLAMF8
225265_at,-0.842602983,10.10938597,-13.52533729,1.98E-33,7.56E-31,65.20397709,RBMS1
225265_at,-0.842602983,10.10938597,-13.52533729,1.98E-33,7.56E-31,65.20397709,RBMS1P1
40569_at,0.628663479,10.32873519,13.50630185,2.34E-33,8.86E-31,65.03985954,MZF1
229764_at,2.657723181,9.074674896,13.46835017,3.25E-33,1.22E-30,64.71284457,TPRG1
226473_at,-1.71252934,8.296107153,-13.46181404,3.44E-33,1.28E-30,64.65655123,CBX2
220581_at,1.521010977,8.174223816,13.45899102,3.53E-33,1.29E-30,64.63223996,CCDC170
228528_at,1.302677509,9.527995771,13.44735361,3.90E-33,1.40E-30,64.53203621,MIR29B2CHG
228528_at,1.302677509,9.527995771,13.44735361,3.90E-33,1.40E-30,64.53203621,MIR29B2
228528_at,1.302677509,9.527995771,13.44735361,3.90E-33,1.40E-30,64.53203621,MIR29C
238625_at,2.385192652,7.734876271,13.44680392,3.92E-33,1.40E-30,64.52730366,FYB2
202269_x_at,-1.265366542,11.0605425,-13.44388843,4.02E-33,1.43E-30,64.50220399,GBP1
202269_x_at,-1.265366542,11.0605425,-13.44388843,4.02E-33,1.43E-30,64.50220399,GBP1P1
208741_at,0.869224144,9.163432194,13.43164941,4.48E-33,1.57E-30,64.39685418,SAP18
207551_s_at,-0.638596904,10.0554819,-13.4287545,4.59E-33,1.60E-30,64.37193966,MSL3
201195_s_at,-1.391063818,9.563240248,-13.39030052,6.42E-33,2.22E-30,64.04113688,SLC7A5
227572_at,0.588435344,9.274897913,13.38848647,6.52E-33,2.23E-30,64.02553815,USP30
235144_at,1.245478381,10.87697885,13.38325629,6.82E-33,2.30E-30,63.98056782,RASEF
229521_at,-0.721097766,8.812236776,-13.38310063,6.83E-33,2.30E-30,63.97922948,CCDC71L
227052_at,1.018133643,12.56736858,13.36296022,8.14E-33,2.71E-30,63.80610537,SMIM14
1569453_a_at,1.532587559,8.896888809,13.3593196,8.40E-33,2.78E-30,63.77481918,LMNTD2-AS1
205059_s_at,0.667459578,9.284620526,13.34378624,9.62E-33,3.17E-30,63.64135842,IDUA
205394_at,-1.173220687,8.089185409,-13.31123045,1.28E-32,4.18E-30,63.36178909,CHEK1
228069_at,-1.249433884,8.286880265,-13.3012712,1.39E-32,4.45E-30,63.27630488,MTFR2
218769_s_at,0.578082871,10.44909765,13.3006493,1.40E-32,4.45E-30,63.27096753,ANKRA2
226452_at,-0.986415311,10.57467571,-13.30048203,1.40E-32,4.45E-30,63.26953194,PDK1
217838_s_at,1.320979886,11.82363756,13.28869244,1.55E-32,4.90E-30,63.16836308,EVL
219114_at,1.197148152,7.423733377,13.28445827,1.61E-32,5.06E-30,63.13203528,C3orf18
