Probe_ID,logFC,AveExpr,t,P.Value,adj.P.Val,B,Gene_Symbol
220173_at,-0.931224032,6.515297842,-3.918567315,0.000160573,0.145507471,0.713380364,BBOF1
1559667_at,0.265446833,4.40156572,3.907612905,0.000167038,0.145507471,0.679910565,LINC02846
208916_at,0.499656628,6.377199728,3.901907651,0.000170503,0.145507471,0.66250534,SLC1A5
201584_s_at,0.61239533,9.078045373,3.901226363,0.000170921,0.145507471,0.660428123,DDX39A
227035_x_at,0.405494058,5.660508785,3.900118741,0.000171603,0.145507471,0.657051586,RP9
227035_x_at,0.405494058,5.660508785,3.900118741,0.000171603,0.145507471,0.657051586,RP9P
228243_at,-0.578248516,4.204886638,-3.895176466,0.000174679,0.145507471,0.641993616,PAXIP1-AS2
200761_s_at,-0.483489565,10.92706831,-3.890463128,0.000177661,0.145507471,0.627645872,ARL6IP5
201978_s_at,-0.246722096,4.536815083,-3.88862146,0.000178839,0.145507471,0.622043076,DELE1
200848_at,-0.451813872,7.95268088,-3.878183153,0.00018566,0.145507471,0.590323128,AHCYL1
208040_s_at,0.246206849,2.560062185,3.876322548,0.000186901,0.145507471,0.584675531,MYBPC3
204195_s_at,0.322426315,5.194879818,3.87337387,0.000188885,0.145507471,0.575729226,PKNOX1
233907_s_at,0.848709633,4.29517688,3.873272947,0.000188953,0.145507471,0.575423112,SERTAD4
229764_at,-1.737677466,5.143351595,-3.868224012,0.000192398,0.145688124,0.560116248,TPRG1
208730_x_at,0.326904368,8.39762311,3.865160715,0.000194517,0.145688124,0.55083623,RAB2A
209413_at,0.488126791,5.465703482,3.851531141,0.000204219,0.149082711,0.509610596,B4GALT2
238464_at,0.310889454,3.162456633,3.842834824,0.000210647,0.149082711,0.483361485,ANKRD36
238464_at,0.310889454,3.162456633,3.842834824,0.000210647,0.149082711,0.483361485,ANKRD36C
211948_x_at,0.600750726,7.000080685,3.839707254,0.000213006,0.149082711,0.473931634,PRRC2C
201480_s_at,0.347763712,7.445301275,3.839596199,0.000213091,0.149082711,0.473596899,SUPT5H
200811_at,-0.770317497,8.732143896,-3.838146794,0.000214193,0.149082711,0.469228807,CIRBP
218758_s_at,0.459208854,6.787338494,3.828861122,0.000221383,0.149082711,0.441272714,RRP1
214193_s_at,0.582942413,6.380983726,3.813809043,0.00023353,0.149082711,0.396059967,UTP25
212745_s_at,-0.686158202,6.38912221,-3.81119099,0.000235707,0.149082711,0.388209152,BBS4
228272_at,0.616977764,5.235852918,3.80773737,0.000238607,0.149082711,0.377858686,DNLZ
206338_at,0.332631804,4.335166793,3.804459155,0.000241392,0.149082711,0.368040208,ELAVL3
33494_at,-0.554958085,5.118705244,-3.803905504,0.000241865,0.149082711,0.366382591,ETFDH
235030_at,-0.572020584,3.600103521,-3.803896573,0.000241873,0.149082711,0.366355854,NXPE3
47530_at,-0.332100226,6.102893749,-3.803085459,0.000242568,0.149082711,0.363927717,TRMO
210457_x_at,0.196431897,2.670821813,3.799407549,0.000245744,0.149082711,0.352922325,HMGA1
212844_at,0.413230926,4.328921235,3.799118853,0.000245995,0.149082711,0.352058788,RRP1B
204568_at,-0.402552385,6.489369797,-3.79667332,0.00024813,0.149082711,0.344745721,ATG14
227232_at,-1.399480022,6.968433064,-3.788115319,0.000255743,0.151718043,0.319181029,EVL
215842_s_at,0.235118845,2.734095421,3.785552197,0.000258066,0.151718043,0.311532577,ATP11A
205206_at,-1.130524104,5.549533327,-3.77927459,0.000263841,0.152265665,0.292815897,ANOS1
235559_at,0.362973297,5.194778348,3.772496045,0.000270214,0.152265665,0.272631117,MINDY4
235559_at,0.362973297,5.194778348,3.772496045,0.000270214,0.152265665,0.272631117,INMT-MINDY4
227811_at,-1.279754791,7.956608118,-3.769661566,0.000272922,0.152265665,0.264198602,FGD3
238719_at,-0.563131142,4.314238906,-3.763839204,0.000278567,0.153844738,0.246891736,PPP2CA
235239_at,0.248610043,2.512724267,3.754977049,0.000287371,0.156451609,0.220586705,QSOX2
